Elapsed (s),Time,nGen-400 Uptime,nGen-400 Hours,Anode PWM_Duty_Cycle,Anode Voltage,Anode Current,Getter PWM_Duty_Cycle,Getter Current,Neutron Counts,Neutron Count_Rate,Neutron Count_Rate_Avg,Neutron Count_Rate_Stdev_Pct,RF Freq_Synth,Suppressor Current,Suppressor Voltage,Pulsing Rep_Rate,Pulsing Duty_Cycle,Pulsing Ext_Trig_Select,Calculations Current_Ratio,Faults Anode_Voltage_Too_High,Faults Arc_dI_dt,Faults Arc_I,Faults Blinkout,Faults E_Beam_Power_Too_High,Faults Interlock,Faults Suppressor_Voltage_Too_Low,State_Machine State,State_Machine Source,State_Machine Destination,State_Machine Fault
0.0,22-Jul-26 11:51:23,8.622E+04,167.1,0,1.512,0.04295,0,0.002518,0,0,0,100,15.05,0.002193,0,1,1,0,0,1,0,1,-1,1,0,4,2.25,2,4,[ OK ]
1.2,22-Jul-26 11:51:25,8.622E+04,167.1,0,1.003,0.03997,0.2602,0.2578,0,0,0,100,15.05,0.002227,0.01269,1,1,0,0,1,0,1,-1,1,0,4,3,2,4,[ OK ]
2.4,22-Jul-26 11:51:26,8.622E+04,167.1,0,0.9551,0.03779,0.3522,0.7311,0,0,0,100,15.05,0.001282,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,4,[ OK ]
3.7,22-Jul-26 11:51:27,8.622E+04,167.1,0,1.496,0.04245,0.4132,1.066,0,0,0,100,15.05,0.002665,0,1,1,0,0,1,0,1,-1,1,0,4,3.105,3,4,[ OK ]
4.9,22-Jul-26 11:51:28,8.622E+04,167.1,0,1.178,0.04086,0.4562,1.281,0,0,0,100,15.05,0.1607,404.2,1,1,0,0,1,0,1,-1,1,0,1,3.211,3,4,[ OK ]
