Elapsed (s),Time,nGen-400 Uptime,nGen-400 Hours,Anode PWM_Duty_Cycle,Anode Voltage,Anode Current,Getter PWM_Duty_Cycle,Getter Current,Neutron Counts,Neutron Count_Rate,Neutron Count_Rate_Avg,Neutron Count_Rate_Stdev_Pct,RF Freq_Synth,Suppressor Current,Suppressor Voltage,Pulsing Rep_Rate,Pulsing Duty_Cycle,Pulsing Ext_Trig_Select,Calculations Current_Ratio,Faults Anode_Voltage_Too_High,Faults Arc_dI_dt,Faults Arc_I,Faults Blinkout,Faults E_Beam_Power_Too_High,Faults Interlock,Faults Suppressor_Voltage_Too_Low,State_Machine State,State_Machine Source,State_Machine Destination,State_Machine Fault
0.0,4/13/2026 8:07:20 PM,2527,102.8,0,0.5094,0.04146,0,0.01148,0,0,0,100,16.28,0.003182,0,1,1,0,0,1,0,1,-1,1,0,4,2.25,2,3,[ OK ]
1.5,4/13/2026 8:07:21 PM,2528,102.8,0,1.066,0.04334,0.2646,0.2906,0,0,0,100,16.28,0.003303,0,1,1,0,0,1,0,1,-1,1,0,4,3,2,3,[ OK ]
3.4,4/13/2026 8:07:23 PM,2530,102.8,0,0.764,0.04225,0.3767,0.9378,0,0,0,100,16.28,0.00282,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
4.6,4/13/2026 8:07:24 PM,2532,102.8,0,1.098,0.04057,0.4241,1.205,0,0,0,100,16.28,0.002336,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
5.2,4/13/2026 8:07:25 PM,2532,102.8,0,1.051,0.04116,0.4353,1.268,0,0,0,100,16.28,0.002538,0.1079,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
5.8,4/13/2026 8:07:26 PM,2533,102.8,0,0.8118,0.04195,0.4432,1.31,0,0,0,100,16.28,0.003706,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
6.3,4/13/2026 8:07:26 PM,2534,102.8,0,1.019,0.04235,0.4488,1.353,0,0,0,100,16.28,0.002578,0.01269,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
6.8,4/13/2026 8:07:27 PM,2534,102.8,0,0.3024,0.04136,0.4535,1.374,0,0,0,100,16.28,0.002659,0.1396,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
7.3,4/13/2026 8:07:27 PM,2535,102.8,0,0.9232,0.04205,0.4582,1.4,0,0,0,100,16.28,0.002216,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
7.7,4/13/2026 8:07:28 PM,2535,102.8,0,0.8755,0.04245,0.462,1.411,0,0,0,100,16.28,0.001934,0.1459,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
8.3,4/13/2026 8:07:28 PM,2536,102.8,0,1.257,0.04314,0.465,1.434,0,0,0,100,16.28,0.002296,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
8.8,4/13/2026 8:07:29 PM,2536,102.8,0,0.9391,0.04245,0.4684,1.444,0,0,0,100,16.28,0.002739,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
9.4,4/13/2026 8:07:29 PM,2537,102.8,0,0.9073,0.04245,0.4712,1.454,0,0,0,100,16.28,0.003505,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
