Elapsed (s),Time,nGen-400 Uptime,nGen-400 Hours,Anode PWM_Duty_Cycle,Anode Voltage,Anode Current,Getter PWM_Duty_Cycle,Getter Current,Neutron Counts,Neutron Count_Rate,Neutron Count_Rate_Avg,Neutron Count_Rate_Stdev_Pct,RF Freq_Synth,Suppressor Current,Suppressor Voltage,Pulsing Rep_Rate,Pulsing Duty_Cycle,Pulsing Ext_Trig_Select,Calculations Current_Ratio,Faults Anode_Voltage_Too_High,Faults Arc_dI_dt,Faults Arc_I,Faults Blinkout,Faults E_Beam_Power_Too_High,Faults Interlock,Faults Suppressor_Voltage_Too_Low,State_Machine State,State_Machine Source,State_Machine Destination,State_Machine Fault
0.0,22-Jul-26 18:59:32,40.31,174.2,0,1.528,0.04225,0,0.002014,0,0,0,100,15.05,0.002193,0.006345,1,1,0,0,1,0,1,-1,1,0,4,2.25,2,4,[ OK ]
1.1,22-Jul-26 18:59:33,41.39,174.2,0,0.9073,0.04265,0.2528,0.1974,0,0,0,100,15.05,0.001991,0,1,1,0,0,1,0,1,-1,1,0,4,3,2,4,[ OK ]
2.2,22-Jul-26 18:59:34,42.5,174.2,0,1.098,0.04493,0.34,0.6703,0,0,0,100,15.05,0.003205,0.1015,1,1,0,0,1,0,1,-1,1,0,4,3,3,4,[ OK ]
3.3,22-Jul-26 18:59:35,43.58,174.2,0,0.764,0.04096,0.4008,0.9827,0,0,0,100,15.05,0.001991,0,1,1,0,0,1,0,1,-1,1,0,4,3.105,3,4,[ OK ]
4.4,22-Jul-26 18:59:36,44.72,174.2,0,0.9232,0.04166,0.444,1.212,0,0,0,100,15.05,0.1609,403.9,1,1,0,0,1,0,1,-1,1,0,1,3.211,3,4,[ OK ]
5.6,22-Jul-26 18:59:38,45.82,174.2,0,1.257,0.03858,0.474,1.365,0,0,0,100,15.05,0.1606,404.2,1,1,0,0,1,0,1,-1,1,0,1,3.368,3,4,[ OK ]
6.6,22-Jul-26 18:59:39,46.95,174.2,0,0.8755,0.04195,0.4951,1.474,0,0,0,100,15.05,0.1614,404.2,200,1,0,0,1,0,1,-1,1,0,1,3.474,3,4,[ OK ]
7.7,22-Jul-26 18:59:40,48.02,174.2,0.02951,9.694,0.05346,0.5087,1.549,0,0,0,100,15.05,0.1634,404.2,200,1,0,-1,1,0,1,-1,1,1,1,3.632,3,4,[ OK ]
8.8,22-Jul-26 18:59:41,49.12,174.2,0.03615,24.88,0.05217,0.5195,1.598,0,0,0,100,15.05,0.1643,403.9,200,1,0,-1,1,0,1,-1,1,1,1,3.684,3,4,[ OK ]
9.8,22-Jul-26 18:59:42,50.19,174.2,0.04007,34.27,0.05287,0.6408,2.2,0,0,0,100,15.05,0.1653,403.9,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
10.6,22-Jul-26 18:59:43,51.24,174.2,0.04271,39.52,0.05406,0.6851,2.424,0,0,0,100,15.05,0.1649,404,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
11.2,22-Jul-26 18:59:43,52.02,174.2,0.04409,42.66,0.05475,0.7108,2.537,0,0,0,100,15.05,0.1646,404.2,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
11.5,22-Jul-26 18:59:44,52.46,174.2,0.0446,44.04,0.05525,0.7226,2.59,0,0,0,100,15.05,0.1657,404.2,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
12.0,22-Jul-26 18:59:44,52.8,174.2,0.04515,44.57,0.05525,0.7306,2.63,0,0,0,100,15.05,0.1653,404.1,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
12.4,22-Jul-26 18:59:44,53.36,174.2,0.04568,45.78,0.05564,0.7427,2.681,0,0,0,100,15.05,0.1653,404.3,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
12.8,22-Jul-26 18:59:45,53.7,174.2,0.04576,46.97,0.05326,0.7497,2.705,0,0,0,100,15.05,0.1655,404.2,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
13.3,22-Jul-26 18:59:45,54.13,174.2,0.04635,46.8,0.05326,0.7576,2.735,0,0,0,100,15.05,0.1649,404.2,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
13.6,22-Jul-26 18:59:46,54.57,174.2,0.04668,47.24,0.05594,0.7654,2.755,0,0,0,100,15.05,0.1651,404.2,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
14.1,22-Jul-26 18:59:46,54.92,174.2,0.04637,48.9,0.05396,0.7709,2.769,0,0,0,100,15.05,0.1646,404,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
14.4,22-Jul-26 18:59:46,55.36,174.2,0.04665,48.9,0.05445,0.7766,2.794,0,0,0,100,15.05,0.1656,404.2,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
14.8,22-Jul-26 18:59:47,55.7,174.2,0.04679,48.9,0.05406,0.781,2.808,0,0,0,100,15.05,0.1659,404.5,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
15.2,22-Jul-26 18:59:47,56.03,174.2,0.04695,48.9,0.05515,0.785,2.82,0,0,0,100,15.05,0.1661,403.8,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
15.6,22-Jul-26 18:59:48,56.58,174.2,0.04717,48.9,0.05366,0.7912,2.839,0,0,0,100,15.05,0.1653,404.1,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
16.1,22-Jul-26 18:59:48,56.93,174.2,0.04731,48.9,0.05455,0.7943,2.854,0,0,0,100,15.05,0.1653,403.8,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
16.4,22-Jul-26 18:59:48,57.37,174.2,0.04726,49.41,0.05535,0.7992,2.859,0,0,0,100,15.05,0.1656,404,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
16.8,22-Jul-26 18:59:49,57.71,174.2,0.04721,49.9,0.05545,0.8021,2.869,0,0,0,100,15.05,0.1661,404,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
17.3,22-Jul-26 18:59:49,58.14,174.2,0.04757,49.23,0.05505,0.8051,2.888,0,0,0,100,15.05,0.1654,404.2,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
17.6,22-Jul-26 18:59:50,58.58,174.2,0.04761,49.41,0.05227,0.8094,2.889,0,0,0,100,15.05,0.1652,404.2,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
18.1,22-Jul-26 18:59:50,58.92,174.2,0.04769,49.41,0.05545,0.8125,2.889,0,0,0,100,15.05,0.1658,404.3,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
18.4,22-Jul-26 18:59:50,59.36,174.2,0.04766,49.69,0.05386,0.8154,2.902,0,0,0,100,15.05,0.1658,404,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
