Elapsed (s),Time,nGen-400 Uptime,nGen-400 Hours,Anode PWM_Duty_Cycle,Anode Voltage,Anode Current,Getter PWM_Duty_Cycle,Getter Current,Neutron Counts,Neutron Count_Rate,Neutron Count_Rate_Avg,Neutron Count_Rate_Stdev_Pct,RF Freq_Synth,Suppressor Current,Suppressor Voltage,Calculations Current_Ratio,Faults Anode_Voltage_Too_High,Faults Arc_dI_dt,Faults Arc_I,Faults Blinkout,Faults E_Beam_Power_Too_High,Faults Interlock,Faults Suppressor_Voltage_Too_Low,State_Machine State,State_Machine Source,State_Machine Destination,State_Machine Fault
0.0,09-Jun-25 09:45:30,52.28,14.07,0,1.355,0.04166,0,0.003827,0,0,0,100,18.48,0.002699,0,0,0,-1,0,-2,0,-1,1,2.75,2,4,[ OK ]
1.1,09-Jun-25 09:45:32,53.38,14.07,0,0.8927,0.04106,0.3304,0.6855,0,0,0,100,18.48,0.001209,0.01269,0,0,-1,0,-2,0,-1,1,3,3,4,[ OK ]
2.3,09-Jun-25 09:45:33,54.5,14.07,0,1.275,0.03709,0.3954,1.057,0,0,0,100,18.48,0.328,404.3,0,0,-1,0,-2,0,-1,0,3.211,3,4,[ OK ]
3.6,09-Jun-25 09:45:34,55.69,14.07,0,0.7811,0.04057,0.4331,1.257,0,0,0,100,18.48,0.3201,404.4,0,0,-1,0,-2,0,-1,0,3.474,3,4,[ OK ]
4.8,09-Jun-25 09:45:35,56.95,14.07,0.05127,4.942,0.04414,0.4532,1.364,0,0,0,100,18.48,0.3197,404.4,-1,0,-1,0,-2,0,0,0,3.632,3,4,[ OK ]
5.9,09-Jun-25 09:45:36,58.15,14.07,0.06046,37.22,0.04493,0.4608,1.412,0,0,0,100,18.48,0.3203,404.5,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
6.7,09-Jun-25 09:45:37,59.43,14.07,0.06728,54.76,0.04652,0.5535,1.908,0,0,0,100,18.48,0.3178,404.5,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
7.1,09-Jun-25 09:45:37,60.05,14.07,0.06995,59.69,0.04523,0.5549,1.945,0,0,0,100,18.48,0.3178,404.4,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
7.6,09-Jun-25 09:45:38,60.48,14.07,0.0711,64.01,0.04533,0.5596,1.943,0,0,0,100,18.48,0.319,404.4,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
8.0,09-Jun-25 09:45:38,60.97,14.07,0.07286,65.98,0.04533,0.5629,1.948,0,0,0,100,18.48,0.3195,404.2,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
8.5,09-Jun-25 09:45:39,61.4,14.07,0.07399,68.1,0.0485,0.5638,1.959,0,0,0,100,18.48,0.3186,404.2,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
8.9,09-Jun-25 09:45:39,61.89,14.07,0.075,70.4,0.04136,0.5638,1.977,0,0,0,100,18.48,0.3203,404.3,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
9.4,09-Jun-25 09:45:40,62.32,14.07,0.07625,70.51,0.04553,0.5669,1.972,0,0,0,100,18.48,0.3194,404.2,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
9.9,09-Jun-25 09:45:40,62.81,14.07,0.07656,73.46,0.04463,0.5677,1.979,0,0,0,100,18.48,0.3192,404.4,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
10.3,09-Jun-25 09:45:41,63.24,14.07,0.07747,73.51,0.04731,0.5698,1.977,0,0,0,100,18.48,0.3215,404.5,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
10.8,09-Jun-25 09:45:41,63.73,14.07,0.07809,74.46,0.04572,0.5706,1.981,0,0,0,100,18.48,0.3197,404.1,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
11.2,09-Jun-25 09:45:42,64.16,14.07,0.07863,74.8,0.04553,0.5716,1.983,0,0,0,100,18.48,0.3207,404.2,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
11.6,09-Jun-25 09:45:42,64.48,14.07,0.07899,75.13,0.04116,0.573,1.98,0,0,0,100,18.48,0.3196,404.4,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
12.0,09-Jun-25 09:45:42,64.97,14.07,0.07918,76.39,0.04691,0.572,1.993,0,0,0,100,18.48,0.3188,404.1,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
12.4,09-Jun-25 09:45:43,65.28,14.07,0.07955,76.44,0.0482,0.5742,1.985,0,0,0,100,18.48,0.3187,404.1,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
12.8,09-Jun-25 09:45:43,65.77,14.07,0.07986,76.97,0.04453,0.5757,1.982,0,0,0,100,18.48,0.3183,404.4,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
13.3,09-Jun-25 09:45:44,66.2,14.07,0.0802,77.05,0.04225,0.5753,1.989,0,0,0,100,18.48,0.3187,404.4,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
13.7,09-Jun-25 09:45:44,66.63,14.07,0.08033,77.7,0.04582,0.5752,1.995,0,0,0,100,18.48,0.319,404.4,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
14.2,09-Jun-25 09:45:45,67.12,14.07,0.08066,77.72,0.04553,0.5778,1.984,0,0,0,100,18.48,0.3183,404.4,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
14.7,09-Jun-25 09:45:45,67.55,14.07,0.0808,77.99,0.04582,0.5775,1.99,0,0,0,100,18.48,0.317,404.1,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
15.2,09-Jun-25 09:45:46,68.16,14.07,0.08081,78.75,0.04622,0.5781,1.993,0,0,0,100,18.48,0.3197,404.3,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
15.7,09-Jun-25 09:45:46,68.59,14.07,0.08105,78.56,0.04592,0.579,1.992,0,0,0,100,18.48,0.3181,404,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
16.2,09-Jun-25 09:45:47,69.19,14.07,0.08107,79.14,0.04553,0.5798,1.994,0,0,0,100,18.48,0.3162,404,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
16.9,09-Jun-25 09:45:47,69.73,14.07,0.08123,79.17,0.04265,0.5819,1.986,0,0,0,100,18.48,0.3174,404.4,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
17.5,09-Jun-25 09:45:48,70.34,14.07,0.08136,79.33,0.04572,0.5828,1.984,0,0,0,100,18.48,0.318,404.1,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
18.0,09-Jun-25 09:45:48,70.94,14.07,0.0816,78.98,0.04553,0.5822,1.993,0,0,0,100,18.48,0.3179,404.3,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
18.7,09-Jun-25 09:45:49,71.6,14.07,0.08147,79.71,0.04572,0.5823,1.997,0,0,0,100,18.48,0.3182,404.4,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
19.4,09-Jun-25 09:45:50,72.32,14.07,0.08156,79.73,0.04592,0.5848,1.989,0,0,0,100,18.48,0.3187,404.2,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
20.0,09-Jun-25 09:45:50,72.93,14.07,0.08172,79.58,0.04622,0.585,1.992,0,0,0,100,18.48,0.3164,404.4,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
20.6,09-Jun-25 09:45:51,73.47,14.07,0.08161,80.06,0.04424,0.587,1.984,0,0,0,100,18.48,0.3173,404.1,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
21.1,09-Jun-25 09:45:52,74.07,14.07,0.08182,79.57,0.04572,0.5873,1.987,0,0,0,100,18.48,0.3161,404.1,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
21.7,09-Jun-25 09:45:52,74.62,14.07,0.08166,80.03,0.04622,0.586,1.999,0,0,0,100,18.48,0.3159,404.1,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
22.3,09-Jun-25 09:45:53,75.22,14.07,0.08173,79.82,0.04582,0.5871,1.998,0,0,0,100,18.48,0.3155,404.2,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
22.9,09-Jun-25 09:45:53,75.77,14.07,0.08174,79.93,0.04513,0.5898,1.986,0,0,0,100,18.48,0.3177,404.4,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
23.5,09-Jun-25 09:45:54,76.37,14.07,0.0818,79.85,0.04691,0.5895,1.993,0,0,0,100,18.48,0.3136,404.1,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
24.1,09-Jun-25 09:45:55,77.09,14.07,0.08184,79.82,0.04701,0.5919,1.984,0,0,0,100,18.48,0.3154,404.4,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
24.7,09-Jun-25 09:45:55,77.64,14.07,0.08187,79.77,0.04523,0.592,1.988,0,0,0,100,18.48,0.3142,404.1,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
25.3,09-Jun-25 09:45:56,78.24,14.07,0.08177,80.08,0.04553,0.5924,1.99,0,0,0,100,18.48,0.3162,404,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
