Elapsed (s),Time,nGen-400 Uptime,nGen-400 Hours,Anode PWM_Duty_Cycle,Anode Voltage,Anode Current,Getter PWM_Duty_Cycle,Getter Current,Neutron Counts,Neutron Count_Rate,Neutron Count_Rate_Avg,Neutron Count_Rate_Stdev_Pct,RF Freq_Synth,Suppressor Current,Suppressor Voltage,Pulsing Rep_Rate,Pulsing Duty_Cycle,Pulsing Ext_Trig_Select,Calculations Current_Ratio,Faults Anode_Voltage_Too_High,Faults Arc_dI_dt,Faults Arc_I,Faults Blinkout,Faults E_Beam_Power_Too_High,Faults Interlock,Faults Suppressor_Voltage_Too_Low,State_Machine State,State_Machine Source,State_Machine Destination,State_Machine Fault
0.0,4/8/2026 11:12:38 AM,4202,101.7,0,0.8914,0.04493,0,0.001712,0,0,0,100,16.28,0.003424,0.04441,1,1,0,0,1,0,1,-1,1,0,4,2.25,2,3,[ OK ]
1.2,4/8/2026 11:12:39 AM,4203,101.7,0,1.21,0.04195,0.2383,0.1547,0,0,0,100,16.28,0.0029,0,1,1,0,0,1,0,1,-1,1,0,4,3,2,3,[ OK ]
2.5,4/8/2026 11:12:41 AM,4205,101.7,0,1.051,0.04414,0.3402,0.7275,0,0,0,100,16.28,0.002538,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
3.2,4/8/2026 11:12:41 AM,4206,101.7,0,0.764,0.04205,0.3922,1.022,0,0,0,100,16.28,0.003223,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
3.6,4/8/2026 11:12:42 AM,4206,101.7,0,0.2706,0.04344,0.4021,1.063,0,0,0,100,16.28,0.001772,0.006345,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
3.9,4/8/2026 11:12:42 AM,4207,101.7,0,0.9073,0.04305,0.4096,1.12,0,0,0,100,16.28,0.00286,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
4.2,4/8/2026 11:12:42 AM,4207,101.7,0,0.7481,0.04265,0.4171,1.159,0,0,0,100,16.28,0.001893,0.05076,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
4.5,4/8/2026 11:12:43 AM,4207,101.7,0,1.098,0.04265,0.4243,1.192,0,0,0,100,16.28,0.002739,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
4.8,4/8/2026 11:12:43 AM,4208,101.7,0,1.401,0.04195,0.4304,1.225,0,0,0,100,16.28,0.002578,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
5.1,4/8/2026 11:12:43 AM,4208,101.7,0,0.9869,0.04136,0.4357,1.255,0,0,0,100,16.28,0.001209,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
