Elapsed (s),Time,nGen-400 Uptime,nGen-400 Hours,Anode PWM_Duty_Cycle,Anode Voltage,Anode Current,Getter PWM_Duty_Cycle,Getter Current,Neutron Counts,Neutron Count_Rate,Neutron Count_Rate_Avg,Neutron Count_Rate_Stdev_Pct,RF Freq_Synth,Suppressor Current,Suppressor Voltage,Calculations Current_Ratio,Faults Anode_Voltage_Too_High,Faults Arc_dI_dt,Faults Arc_I,Faults Blinkout,Faults E_Beam_Power_Too_High,Faults Interlock,Faults Suppressor_Voltage_Too_Low,State_Machine State,State_Machine Source,State_Machine Destination,State_Machine Fault
0.0,9/29/2025 5:33:13 PM,281.1,26.53,0,0.9884,0.0366,0,0.01068,0,0,0,100,18.48,0.002659,0,0,0,-1,0,-2,0,-1,1,2.75,2,4,[ OK ]
1.4,9/29/2025 5:33:15 PM,282.6,26.53,0,0.9087,0.03789,0.3568,0.7788,0,0,0,100,18.48,0.002457,0,0,0,-1,0,-2,0,-1,1,3,3,4,[ OK ]
3.0,9/29/2025 5:33:16 PM,284,26.53,0,0.7652,0.04096,0.4241,1.145,0,0,0,100,18.48,0.2845,404.5,0,0,-1,0,-2,0,-1,0,3.211,3,4,[ OK ]
4.5,9/29/2025 5:33:18 PM,285.5,26.53,0,0.7652,0.04116,0.4582,1.316,0,0,0,100,18.48,0.2831,404.2,0,0,-1,0,-2,0,-1,0,3.474,3,4,[ OK ]
6.1,9/29/2025 5:33:19 PM,287.1,26.53,0.05458,17.39,0.04424,0.4737,1.402,0,0,0,100,18.48,0.2837,404.2,-1,0,-1,0,-2,0,0,0,3.632,3,4,[ OK ]
7.6,9/29/2025 5:33:21 PM,288.6,26.53,0.06442,49.64,0.04503,0.5387,1.722,0,0,0,100,18.48,0.2843,404.3,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
8.5,9/29/2025 5:33:22 PM,290.1,26.53,0.07039,62.76,0.04344,0.5665,1.875,0,0,0,100,18.48,0.2869,404.2,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
9.1,9/29/2025 5:33:23 PM,290.9,26.53,0.07228,67.34,0.04582,0.5761,1.901,0,0,0,100,18.48,0.2872,404.2,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
9.7,9/29/2025 5:33:23 PM,291.5,26.53,0.07382,69.63,0.04572,0.5811,1.921,0,0,0,100,18.48,0.2884,404.2,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
10.3,9/29/2025 5:33:24 PM,292,26.53,0.07475,71.61,0.04453,0.5849,1.934,0,0,0,100,18.48,0.2886,404.5,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
10.7,9/29/2025 5:33:24 PM,292.5,26.53,0.07532,73.46,0.04652,0.5851,1.959,0,0,0,100,18.48,0.2868,404.6,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
