Elapsed (s),Time,nGen-400 Uptime,nGen-400 Hours,Anode PWM_Duty_Cycle,Anode Voltage,Anode Current,Getter PWM_Duty_Cycle,Getter Current,Neutron Counts,Neutron Count_Rate,Neutron Count_Rate_Avg,Neutron Count_Rate_Stdev_Pct,RF Freq_Synth,Suppressor Current,Suppressor Voltage,Pulsing Rep_Rate,Pulsing Duty_Cycle,Pulsing Ext_Trig_Select,Calculations Current_Ratio,Faults Anode_Voltage_Too_High,Faults Arc_dI_dt,Faults Arc_I,Faults Blinkout,Faults E_Beam_Power_Too_High,Faults Interlock,Faults Suppressor_Voltage_Too_Low,State_Machine State,State_Machine Source,State_Machine Destination,State_Machine Fault
0.0,4/22/2026 1:13:02 PM,4931,110.5,0,1.114,0.03947,0,0.001712,0,0,0,100,16.28,0.002578,0.01269,1,1,0,0,1,0,1,-1,1,0,4,2.25,2,4,[ OK ]
1.2,4/22/2026 1:13:04 PM,4932,110.5,0,1.098,0.04235,0.2507,0.2026,0,0,0,100,16.28,0.003384,0,1,1,0,0,1,0,1,-1,1,0,4,3,2,4,[ OK ]
2.4,4/22/2026 1:13:05 PM,4933,110.5,0,0.4934,0.04066,0.3344,0.6724,0,0,0,100,16.28,0.002618,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,4,[ OK ]
3.7,4/22/2026 1:13:06 PM,4934,110.5,0,1.003,0.04195,0.3872,0.9797,0,0,0,100,16.28,0.003666,0,1,1,0,0,1,0,1,-1,1,0,4,3.105,3,4,[ OK ]
4.9,4/22/2026 1:13:07 PM,4935,110.5,0,0.764,0.04235,0.423,1.17,0,0,0,100,16.28,0.2043,404.2,1,1,0,0,1,0,1,-1,1,0,1,3.211,3,4,[ OK ]
6.3,4/22/2026 1:13:09 PM,4937,110.5,0,1.56,0.04245,0.447,1.301,0,0,0,100,16.28,0.2048,404.2,200,1,0,0,1,0,1,-1,1,0,1,3.368,3,4,[ OK ]
7.8,4/22/2026 1:13:10 PM,4938,110.5,0,0.8277,0.04285,0.4636,1.392,0,0,0,100,16.28,0.2041,404.2,200,1,0,0,1,0,1,-1,1,0,1,3.526,3,4,[ OK ]
9.6,4/22/2026 1:13:12 PM,4940,110.5,0.02978,17.25,0.04652,0.475,1.457,0,0,0,100,16.28,0.2059,404.2,200,1,0,-1,1,0,1,-1,1,1,1,3.632,3,4,[ OK ]
11.9,4/22/2026 1:13:14 PM,4942,110.5,0.03931,34.89,0.04602,0.6061,2.152,0,0,0,100,16.28,0.2059,404.5,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
14.1,4/22/2026 1:13:16 PM,4945,110.5,0.04407,43.17,0.04652,0.6758,2.495,0,0,0,100,16.28,0.2058,404.1,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
