Elapsed (s),Time,nGen-400 Uptime,nGen-400 Hours,Anode PWM_Duty_Cycle,Anode Voltage,Anode Current,Getter PWM_Duty_Cycle,Getter Current,Neutron Counts,Neutron Count_Rate,Neutron Count_Rate_Avg,Neutron Count_Rate_Stdev_Pct,RF Freq_Synth,Suppressor Current,Suppressor Voltage,Pulsing Rep_Rate,Pulsing Duty_Cycle,Pulsing Ext_Trig_Select,Calculations Current_Ratio,Faults Anode_Voltage_Too_High,Faults Arc_dI_dt,Faults Arc_I,Faults Blinkout,Faults E_Beam_Power_Too_High,Faults Interlock,Faults Suppressor_Voltage_Too_Low,State_Machine State,State_Machine Source,State_Machine Destination,State_Machine Fault
0.0,10-Mar-26 10:11:20,1.088E+06,96.6,0,0.8914,0.03928,0,0.01047,0,0,0,100,16.28,0.002417,0.09517,1,1,0,0,1,0,1,-1,1,0,4,2.25,2,4,[ OK ]
1.4,10-Mar-26 10:11:21,1.088E+06,96.6,0,0.8914,0.04215,0.2704,0.3145,0,0,0,100,16.28,0.0003626,0,1,1,0,0,1,0,1,-1,1,0,4,3,2,4,[ OK ]
2.9,10-Mar-26 10:11:22,1.088E+06,96.6,0,0.5094,0.04295,0.3572,0.7997,0,0,0,100,16.28,0.002538,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,4,[ OK ]
4.4,10-Mar-26 10:11:24,1.088E+06,96.6,0,0.8277,0.04295,0.4091,1.088,0,0,0,100,16.28,0.002659,0.006345,1,1,0,0,1,0,1,-1,1,0,4,3.105,3,4,[ OK ]
5.9,10-Mar-26 10:11:25,1.088E+06,96.6,0,1.464,0.04215,0.4425,1.279,0,0,0,100,16.28,0.204,404.2,1,1,0,0,1,0,1,-1,1,0,1,3.211,3,4,[ OK ]
7.6,10-Mar-26 10:11:27,1.088E+06,96.6,0,0.8914,0.04245,0.4622,1.378,0,0,0,100,16.28,0.2093,404.2,200,1,0,0,1,0,1,-1,1,0,1,3.368,3,4,[ OK ]
9.2,10-Mar-26 10:11:29,1.088E+06,96.6,0,0.9232,0.04344,0.4748,1.432,0,0,0,100,16.28,0.21,404.6,200,1,0,0,1,0,1,-1,1,0,1,3.526,3,4,[ OK ]
10.7,10-Mar-26 10:11:30,1.088E+06,96.6,0.02788,15.85,0.04602,0.4809,1.476,0,0,0,100,16.28,0.2088,404.1,200,1,0,-1,1,0,1,-1,1,1,1,3.632,3,4,[ OK ]
12.3,10-Mar-26 10:11:32,1.088E+06,96.6,0.03612,29.27,0.04572,0.5793,1.991,0,0,0,100,16.28,0.209,404.4,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
13.7,10-Mar-26 10:11:33,1.088E+06,96.6,0.04049,38.93,0.04602,0.6439,2.327,0,0,0,100,16.28,0.2107,404.5,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
