Elapsed (s),Time,nGen-400 Uptime,nGen-400 Hours,Anode PWM_Duty_Cycle,Anode Voltage,Anode Current,Getter PWM_Duty_Cycle,Getter Current,Neutron Counts,Neutron Count_Rate,Neutron Count_Rate_Avg,Neutron Count_Rate_Stdev_Pct,RF Freq_Synth,Suppressor Current,Suppressor Voltage,Calculations Current_Ratio,Faults Anode_Voltage_Too_High,Faults Arc_dI_dt,Faults Arc_I,Faults Blinkout,Faults E_Beam_Power_Too_High,Faults Interlock,Faults Suppressor_Voltage_Too_Low,State_Machine State,State_Machine Source,State_Machine Destination,State_Machine Fault
0.0,18-Jul-25 13:30:20,2432,21.47,0,1.403,0.04017,0,0.004028,0,0,0,100,18.48,0.001611,0,0,0,-1,0,-2,0,-1,1,2.75,2,4,[ OK ]
1.4,18-Jul-25 13:30:21,2433,21.47,0,0.9725,0.04106,0.3528,0.7932,0,0,0,100,18.48,0.002256,0,0,0,-1,0,-2,0,-1,1,3,3,4,[ OK ]
3.0,18-Jul-25 13:30:23,2435,21.47,0,0.7174,0.04096,0.4172,1.158,0,0,0,100,18.48,0.322,404.1,0,0,-1,0,-2,0,-1,0,3.211,3,4,[ OK ]
4.5,18-Jul-25 13:30:24,2436,21.47,0,1.02,0.04106,0.4468,1.341,0,0,0,100,18.48,0.3322,404.1,0,0,-1,0,-2,0,-1,0,3.474,3,4,[ OK ]
6.1,18-Jul-25 13:30:26,2438,21.47,0.05493,16.32,0.05326,0.4631,1.399,0,0,0,100,18.48,0.3401,404.3,-1,0,-1,0,-2,0,0,0,3.632,3,4,[ OK ]
7.7,18-Jul-25 13:30:28,2440,21.47,0.06574,49.83,0.05673,0.5254,1.746,0,0,0,100,18.48,0.3413,404.4,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
8.9,18-Jul-25 13:30:29,2441,21.47,0.07195,65.3,0.04166,0.556,1.884,0,0,0,100,18.48,0.3381,404.2,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
9.6,18-Jul-25 13:30:30,2442,21.47,0.07404,69.25,0.04374,0.5602,1.93,0,0,0,100,18.48,0.3393,404,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
10.2,18-Jul-25 13:30:30,2443,21.47,0.07492,72.26,0.04493,0.5638,1.949,0,0,0,100,18.48,0.341,404,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
10.7,18-Jul-25 13:30:31,2443,21.47,0.07593,73.52,0.0481,0.5669,1.959,0,0,0,100,18.48,0.341,404,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
11.3,18-Jul-25 13:30:31,2444,21.47,0.07683,73.97,0.04572,0.5697,1.964,0,0,0,100,18.48,0.3412,404,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
11.9,18-Jul-25 13:30:32,2445,21.47,0.07722,75.76,0.04602,0.5722,1.968,0,0,0,100,18.48,0.3437,404.3,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
12.4,18-Jul-25 13:30:32,2445,21.47,0.07776,75.93,0.04572,0.5719,1.982,0,0,0,100,18.48,0.3441,404.4,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
12.9,18-Jul-25 13:30:33,2446,21.47,0.07797,77.4,0.04592,0.574,1.984,0,0,0,100,18.48,0.3455,404.4,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
13.4,18-Jul-25 13:30:33,2446,21.47,0.07845,77.27,0.04493,0.5748,1.988,0,0,0,100,18.48,0.3447,404.3,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
13.8,18-Jul-25 13:30:34,2446,21.47,0.07874,77.72,0.04662,0.5779,1.979,0,0,0,100,18.48,0.3429,404.1,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
14.3,18-Jul-25 13:30:34,2447,21.47,0.07908,77.78,0.0482,0.5782,1.984,0,0,0,100,18.48,0.3412,404.1,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
14.9,18-Jul-25 13:30:35,2448,21.47,0.07915,78.69,0.04205,0.5789,1.99,0,0,0,100,18.48,0.3425,404,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
15.4,18-Jul-25 13:30:35,2448,21.47,0.07955,78.05,0.04414,0.5798,1.99,0,0,0,100,18.48,0.3435,404.4,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
15.8,18-Jul-25 13:30:36,2448,21.47,0.07959,78.56,0.04553,0.5824,1.981,0,0,0,100,18.48,0.3437,404,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
16.3,18-Jul-25 13:30:36,2449,21.47,0.07972,78.56,0.04572,0.5811,1.992,0,0,0,100,18.48,0.3436,404,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
16.8,18-Jul-25 13:30:37,2449,21.47,0.07976,79.04,0.04553,0.5821,1.992,0,0,0,100,18.48,0.3461,404.1,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
17.3,18-Jul-25 13:30:37,2450,21.47,0.07966,79.63,0.0487,0.5823,1.996,0,0,0,100,18.48,0.3431,404.1,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
17.8,18-Jul-25 13:30:38,2450,21.47,0.07987,79.31,0.04582,0.5831,1.995,0,0,0,100,18.48,0.3447,404.4,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
18.2,18-Jul-25 13:30:38,2451,21.47,0.08004,79.06,0.0487,0.5845,1.991,0,0,0,100,18.48,0.345,404,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
