Elapsed (s),Time,nGen-400 Uptime,nGen-400 Hours,Anode PWM_Duty_Cycle,Anode Voltage,Anode Current,Getter PWM_Duty_Cycle,Getter Current,Neutron Counts,Neutron Count_Rate,Neutron Count_Rate_Avg,Neutron Count_Rate_Stdev_Pct,RF Freq_Synth,Suppressor Current,Suppressor Voltage,Calculations Current_Ratio,Faults Anode_Voltage_Too_High,Faults Arc_dI_dt,Faults Arc_I,Faults Blinkout,Faults E_Beam_Power_Too_High,Faults Interlock,Faults Suppressor_Voltage_Too_Low,State_Machine State,State_Machine Source,State_Machine Destination,State_Machine Fault
0.0,9/29/2025 6:03:59 PM,309.1,26.68,0,0.813,0.04007,0,0.01098,0,0,0,100,18.48,0.002296,0,0,0,-1,0,-2,0,-1,1,2.75,2,4,[ OK ]
1.3,9/29/2025 6:04:01 PM,310.4,26.68,0,1.004,0.03918,0.3499,0.7386,0,0,0,100,18.48,0.00137,0.05076,0,0,-1,0,-2,0,-1,1,3,3,4,[ OK ]
2.7,9/29/2025 6:04:02 PM,311.8,26.68,0,0.8927,0.04136,0.4157,1.116,0,0,0,100,18.48,0.2817,404.3,0,0,-1,0,-2,0,1,0,3.211,3,4,Interlock
4.2,9/29/2025 6:04:03 PM,313.3,26.68,0,1.004,0.03947,0.4563,1.301,0,0,0,100,18.48,0.2809,404.2,0,0,-1,0,-2,0,-1,0,3.875,4,1,Interlock
5.7,9/29/2025 6:04:05 PM,314.6,26.68,0,0.7971,0.04146,0.4696,1.387,0,0,0,100,18.48,0.2803,404.5,0,0,-1,0,-2,0,-1,0,3.25,4,1,Interlock
7.1,9/29/2025 6:04:06 PM,316.1,26.68,0,1.275,0.04086,0,0.01017,0,0,0,100,18.48,0.002216,1.136,0,0,-1,0,-2,0,-1,0.775,2,3,1,Interlock
30.3,9/29/2025 6:04:30 PM,339.5,26.68,0,1.004,0.03957,0,0.008762,0,0,0,100,18.48,0.003263,0.1523,0,0,-1,0,-2,0,-1,1,2.75,2,4,[ OK ]
31.6,9/29/2025 6:04:31 PM,340.8,26.68,0,1.148,0.03977,0.2992,0.468,0,0,0,100,18.48,0.003182,0,0,0,-1,0,-2,0,-1,1,3,3,4,[ OK ]
33.1,9/29/2025 6:04:32 PM,342.1,26.68,0,0.8609,0.04096,0.3932,0.9685,0,0,0,100,18.48,0.279,404.5,0,0,-1,0,-2,0,-1,0,3.211,3,4,[ OK ]
34.6,9/29/2025 6:04:34 PM,343.6,26.68,0,0.1116,0.04404,0.4446,1.246,0,0,0,100,18.48,0.281,404.6,0,0,-1,0,-2,0,-1,0,3.474,3,4,[ OK ]
36.2,9/29/2025 6:04:35 PM,345.2,26.68,0.05433,18.11,0.04265,0.4678,1.374,0,0,0,100,18.48,0.283,404.3,-1,0,-1,0,-2,0,0,0,3.632,3,4,[ OK ]
37.7,9/29/2025 6:04:37 PM,346.8,26.68,0.06366,50.3,0.04592,0.5374,1.712,0,0,0,100,18.48,0.2809,404.6,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
38.8,9/29/2025 6:04:38 PM,348.4,26.68,0.06982,64.04,0.04741,0.5661,1.88,0,0,0,100,18.48,0.282,404.3,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
39.5,9/29/2025 6:04:39 PM,349.2,26.68,0.07192,68.68,0.04543,0.5752,1.918,0,0,0,100,18.48,0.2819,404.2,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
40.1,9/29/2025 6:04:39 PM,349.9,26.68,0.07322,70.77,0.04473,0.5817,1.926,0,0,0,100,18.48,0.2819,404.3,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
40.6,9/29/2025 6:04:40 PM,350.5,26.68,0.0743,72.44,0.04513,0.5856,1.938,0,0,0,100,18.48,0.2838,404.5,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
41.3,9/29/2025 6:04:40 PM,351,26.68,0.07495,74,0.04186,0.5865,1.958,0,0,0,100,18.48,0.2807,404.6,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
41.8,9/29/2025 6:04:41 PM,351.6,26.68,0.0756,75.29,0.0482,0.5883,1.971,0,0,0,100,18.48,0.2791,404.5,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
42.3,9/29/2025 6:04:42 PM,352,26.68,0.07592,76.23,0.04533,0.5897,1.978,0,0,0,100,18.48,0.2781,404.5,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
42.8,9/29/2025 6:04:42 PM,352.7,26.68,0.07662,76.43,0.04493,0.5927,1.977,0,0,0,100,18.48,0.2793,404.6,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
43.3,9/29/2025 6:04:43 PM,353.1,26.68,0.07684,77.06,0.04592,0.5954,1.971,0,0,0,100,18.48,0.2797,404.6,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
43.9,9/29/2025 6:04:43 PM,353.7,26.68,0.07728,77.33,0.04176,0.5964,1.976,0,0,0,100,18.48,0.2796,404.1,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
44.4,9/29/2025 6:04:44 PM,354.1,26.68,0.07738,77.92,0.04622,0.5968,1.981,0,0,0,100,18.48,0.2781,404.5,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
45.2,9/29/2025 6:04:44 PM,355,26.68,0.07775,78.34,0.04453,0.5973,1.991,0,0,0,100,18.48,0.2799,404.2,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
