Elapsed (s),Time,nGen-400 Uptime,nGen-400 Hours,Anode PWM_Duty_Cycle,Anode Voltage,Anode Current,Getter PWM_Duty_Cycle,Getter Current,Neutron Counts,Neutron Count_Rate,Neutron Count_Rate_Avg,Neutron Count_Rate_Stdev_Pct,RF Freq_Synth,Suppressor Current,Suppressor Voltage,Calculations Current_Ratio,Faults Anode_Voltage_Too_High,Faults Arc_dI_dt,Faults Arc_I,Faults Blinkout,Faults E_Beam_Power_Too_High,Faults Interlock,Faults Suppressor_Voltage_Too_Low,State_Machine State,State_Machine Source,State_Machine Destination,State_Machine Fault
0.0,9/29/2025 5:44:08 PM,303.3,26.62,0,0.9725,0.04076,0,0.009567,0,0,0,100,18.48,0.002498,0.04441,0,0,-1,0,-2,0,-1,1,2.75,2,4,[ OK ]
1.1,9/29/2025 5:44:10 PM,304.4,26.62,0,0.7652,0.04047,0.3352,0.6703,0,0,0,100,18.48,0.0029,0,0,0,-1,0,-2,0,-1,1,3,3,4,[ OK ]
2.3,9/29/2025 5:44:11 PM,305.6,26.62,0,1.387,0.04096,0.4037,1.022,0,0,0,100,18.48,0.2847,404.6,0,0,-1,0,-2,0,-1,0,3.211,3,4,[ OK ]
3.6,9/29/2025 5:44:12 PM,306.7,26.62,0,0.7652,0.04096,0.4424,1.238,0,0,0,100,18.48,0.285,404.5,0,0,-1,0,-2,0,-1,0,3.474,3,4,[ OK ]
4.8,9/29/2025 5:44:13 PM,308,26.62,0.05114,6.169,0.04562,0.465,1.359,0,0,0,100,18.48,0.2865,404.2,-1,0,-1,0,-2,0,0,0,3.632,3,4,[ OK ]
5.9,9/29/2025 5:44:14 PM,309.2,26.62,0.05994,37.46,0.04453,0.5304,1.683,0,0,0,100,18.48,0.2864,404.4,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
6.4,9/29/2025 5:44:15 PM,310.3,26.62,0.06549,53.53,0.04572,0.5571,1.823,0,0,0,100,18.48,0.2868,404.4,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
6.7,9/29/2025 5:44:15 PM,310.7,26.62,0.06716,57.42,0.04731,0.5633,1.848,0,0,0,100,18.48,0.2871,404.2,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
7.0,9/29/2025 5:44:15 PM,311,26.62,0.06837,60.26,0.04592,0.5669,1.87,0,0,0,100,18.48,0.2884,404.5,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
7.4,9/29/2025 5:44:16 PM,311.4,26.62,0.06975,63.05,0.04513,0.5702,1.896,0,0,0,100,18.48,0.2877,404.6,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
7.7,9/29/2025 5:44:16 PM,311.7,26.62,0.07063,65.3,0.04533,0.5753,1.899,0,0,0,100,18.48,0.2868,404.3,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
8.1,9/29/2025 5:44:16 PM,312,26.62,0.07164,66.54,0.04443,0.5777,1.912,0,0,0,100,18.48,0.2875,404.5,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
8.4,9/29/2025 5:44:17 PM,312.4,26.62,0.07241,68.88,0.04602,0.5795,1.931,0,0,0,100,18.48,0.2873,404.3,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
8.7,9/29/2025 5:44:17 PM,312.7,26.62,0.07329,69.62,0.04801,0.5825,1.935,0,0,0,100,18.48,0.2863,404.4,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
9.1,9/29/2025 5:44:17 PM,313,26.62,0.07398,70.57,0.0487,0.5815,1.959,0,0,0,100,18.48,0.2869,404.4,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
9.4,9/29/2025 5:44:18 PM,313.4,26.62,0.07465,71.72,0.04572,0.5862,1.954,0,0,0,100,18.48,0.2865,404.5,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
9.7,9/29/2025 5:44:18 PM,313.7,26.62,0.07529,72.1,0.04434,0.5884,1.953,0,0,0,100,18.48,0.2859,404.5,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
10.1,9/29/2025 5:44:19 PM,314,26.62,0.07548,73.65,0.04751,0.5883,1.966,0,0,0,100,18.48,0.2855,404.3,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
10.4,9/29/2025 5:44:19 PM,314.4,26.62,0.0759,74.67,0.04255,0.5894,1.973,0,0,0,100,18.48,0.2838,404.6,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
10.7,9/29/2025 5:44:19 PM,314.7,26.62,0.07646,74.69,0.0481,0.5921,1.967,0,0,0,100,18.48,0.2865,404.2,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
11.1,9/29/2025 5:44:20 PM,315.1,26.62,0.07666,75.56,0.04533,0.5933,1.968,0,0,0,100,18.48,0.2864,404.3,-1,0,-1,0,-2,0,0,0,3.789,3,4,[ OK ]
